Cell_Line,COMPOUND_A,COMPOUND_B,SYNERGY_SCORE,Tissue
LS513,CIDs24978538,CIDs76321032,24.5,digestive system
LS513,CIDs11152667,CIDs76321032,-27.1,digestive system
LS513,CIDs49800198,CIDs76321032,35.9,digestive system
LS513,CIDs56673688,CIDs76321032,17.0,digestive system
LS513,CIDs11640390,CIDs76321032,-1.26,digestive system
LS513,CIDs45381890,CIDs76321032,18.7,digestive system
LS513,CIDs16659841,CIDs76321032,-15.9,digestive system
LS513,CIDs10127622,CIDs76321032,21.2,digestive system
LS513,CIDs23725625,CIDs76321032,-5.15,digestive system
LS513,CIDs44199317,CIDs76321032,-7.71,digestive system
LS513,CIDs17755052,CIDs76321032,12.9,digestive system
LS513,CIDs00447654,CIDs76321032,-0.521,digestive system
LS513,CIDs44137675,CIDs76321032,0.513,digestive system
LS513,CIDs11519784,CIDs76321032,43.7,digestive system
LS513,CIDs25071599,CIDs76321032,-7.48,digestive system
LS513,CIDs90667118,CIDs76321032,23.3,digestive system
LS513,CIDs00104842,CIDs76321032,-6.01,digestive system
LS513,CIDs10302451,CIDs76321032,82.6,digestive system
LS513,CIDs00104842,CIDs11375205,3.71,digestive system
LS513,CIDs46244173,CIDs49800198,-9.58,digestive system
LS513,CIDs24978538,CIDs49800198,2.28,digestive system
LS513,CIDs11152667,CIDs49800198,17.1,digestive system
LS513,CIDs56673688,CIDs49800198,19.4,digestive system
LS513,CIDs11640390,CIDs49800198,24.2,digestive system
LS513,CIDs45381890,CIDs49800198,16.1,digestive system
LS513,CIDs16659841,CIDs49800198,-0.669,digestive system
LS513,CIDs23725625,CIDs49800198,-2.97,digestive system
LS513,CIDs44199317,CIDs49800198,-6.92,digestive system
LS513,CIDs17755052,CIDs49800198,12.4,digestive system
LS513,CIDs00447654,CIDs49800198,30.4,digestive system
LS513,CIDs44137675,CIDs49800198,-8.85,digestive system
LS513,CIDs11519784,CIDs49800198,92.0,digestive system
LS513,CIDs25071599,CIDs49800198,20.7,digestive system
LS513,CIDs90667118,CIDs49800198,2.72,digestive system
LS513,CIDs00104842,CIDs49800198,12.8,digestive system
LS513,CIDs10127622,CIDs16659841,-22.9,digestive system
LS513,CIDs24998177,CIDs16659841,-22.4,digestive system
LS513,CIDs46244453,CIDs10127622,-27.0,digestive system
LS513,CIDs42611257,CIDs10127622,-42.6,digestive system
LS513,CIDs70685869,CIDs10127622,58.0,digestive system
LS513,CIDs56673688,CIDs10127622,10.5,digestive system
LS513,CIDs11640390,CIDs10127622,24.8,digestive system
LS513,CIDs45381890,CIDs10127622,10.6,digestive system
LS513,CIDs23725625,CIDs10127622,-1.49,digestive system
LS513,CIDs44199317,CIDs10127622,29.5,digestive system
LS513,CIDs17755052,CIDs10127622,21.4,digestive system
LS513,CIDs44137675,CIDs10127622,1.58,digestive system
LS513,CIDs11519784,CIDs10127622,14.1,digestive system
LS513,CIDs25071599,CIDs10127622,18.3,digestive system
LS513,CIDs90667118,CIDs10127622,37.2,digestive system
LS513,CIDs10302451,CIDs10127622,68.2,digestive system
LS513,CIDs03081361,CIDs10127622,75.7,digestive system
LS513,CIDs44381568,CIDs10127622,78.8,digestive system
LS513,CIDs56946894,CIDs24998177,-27.2,digestive system
LS513,CIDs24964624,CIDs25262792,29.2,digestive system
LS513,CIDs42611257,CIDs25262792,-13.3,digestive system
LS513,CIDs70685869,CIDs25262792,-7.5,digestive system
LS513,CIDs00003385,CIDs17755052,-13.1,digestive system
LS513,CIDs44381568,CIDs17755052,97.2,digestive system
LS513,CIDs44381568,CIDs90667118,37.4,digestive system
LS513,CIDs46244453,CIDs00104842,-8.31,digestive system
LS513,CIDs44381568,CIDs10302451,92.9,digestive system
LS513,CIDs56673688,CIDs03081361,31.5,digestive system
LS513,CIDs11640390,CIDs03081361,25.2,digestive system
LS513,CIDs45381890,CIDs03081361,23.2,digestive system
LS513,CIDs17755052,CIDs03081361,26.7,digestive system
LS513,CIDs00447654,CIDs03081361,28.5,digestive system
LS513,CIDs44137675,CIDs03081361,4.47,digestive system
LS513,CIDs44381568,CIDs03081361,-13.3,digestive system
LS513,CIDs56946894,CIDs44381568,64.8,digestive system
MCF7,CIDs24964624,CIDs25227436,17.6,breast
MCF7,CIDs00001805,CIDs25227436,16.1,breast
MCF7,CIDs46930996,CIDs25227436,7.65,breast
MCF7,CIDs11717001,CIDs25227436,-52.0,breast
MCF7,CIDs25194865,CIDs25227436,-0.11699999999999999,breast
MCF7,CIDs00002719,CIDs25227436,24.9,breast
MCF7,CIDs00104741,CIDs25227436,44.7,breast
MCF7,CIDs00148195,CIDs25227436,4.44,breast
MCF7,CIDs00004261,CIDs25227436,-14.7,breast
MCF7,CIDs00005311,CIDs25227436,11.4,breast
MCF7,CIDs11955716,CIDs25227436,-0.591,breast
MCF7,CIDs11707110,CIDs25227436,66.1,breast
MCF7,CIDs17754438,CIDs25227436,8.03,breast
MCF7,CIDs11597571,CIDs25227436,-12.3,breast
MCF7,CIDs00148191,CIDs25227436,34.2,breast
MCF7,CIDs06442177,CIDs25227436,35.3,breast
MCF7,CIDs45375953,CIDs25227436,18.5,breast
MCF7,CIDs16720766,CIDs25227436,-7.44,breast
MCF7,CIDs11625818,CIDs25227436,17.3,breast
MCF7,CIDs25033539,CIDs25227436,9.92,breast
MCF7,CIDs49867926,CIDs25227436,20.7,breast
MCF7,CIDs00176166,CIDs25227436,7.63,breast
MCF7,CIDs00093860,CIDs25227436,0.18100000000000002,breast
MCF7,CIDs11556711,CIDs25227436,0.2,breast
MCF7,CIDs24856436,CIDs25227436,6.66,breast
MCF7,CIDs49867930,CIDs25227436,-27.2,breast
MCF7,CIDs24964624,CIDs49846579,22.5,breast
MCF7,CIDs17755052,CIDs49846579,1.7,breast
MCF7,CIDs25227436,CIDs46836568,-11.9,breast
MCF7,CIDs24964624,CIDs46836568,18.7,breast
MCF7,CIDs25262792,CIDs46836568,7.44,breast
MCF7,CIDs17755052,CIDs46836568,7.37,breast
MCF7,CIDs24964624,CIDs11152667,7.16,breast
MCF7,CIDs00148177,CIDs11152667,2.93,breast
MCF7,CIDs46244453,CIDs11152667,13.0,breast
MCF7,CIDs00001805,CIDs11152667,1.64,breast
MCF7,CIDs46930996,CIDs11152667,4.57,breast
MCF7,CIDs24978538,CIDs11152667,-7.38,breast
MCF7,CIDs10126189,CIDs11152667,6.16,breast
MCF7,CIDs25194865,CIDs11152667,7.92,breast
MCF7,CIDs00002719,CIDs11152667,16.2,breast
MCF7,CIDs00104741,CIDs11152667,19.0,breast
MCF7,CIDs00148195,CIDs11152667,-0.9620000000000001,breast
MCF7,CIDs00004261,CIDs11152667,11.2,breast
MCF7,CIDs00005311,CIDs11152667,2.41,breast
MCF7,CIDs11955716,CIDs11152667,3.28,breast
MCF7,CIDs11707110,CIDs11152667,45.1,breast
MCF7,CIDs16719221,CIDs11152667,22.8,breast
MCF7,CIDs17754438,CIDs11152667,17.3,breast
MCF7,CIDs11597571,CIDs11152667,-62.2,breast
MCF7,CIDs00148191,CIDs11152667,9.88,breast
MCF7,CIDs06442177,CIDs11152667,15.6,breast
MCF7,CIDs45375953,CIDs11152667,3.99,breast
MCF7,CIDs11520894,CIDs11152667,21.7,breast
MCF7,CIDs16720766,CIDs11152667,13.8,breast
MCF7,CIDs11625818,CIDs11152667,4.64,breast
MCF7,CIDs25033539,CIDs11152667,-14.7,breast
MCF7,CIDs49867926,CIDs11152667,14.6,breast
MCF7,CIDs00093860,CIDs11152667,-0.653,breast
MCF7,CIDs11556711,CIDs11152667,0.419,breast
MCF7,CIDs11167602,CIDs11152667,32.3,breast
MCF7,CIDs24856436,CIDs11152667,66.5,breast
MCF7,CIDs49867930,CIDs11152667,24.2,breast
MCF7,CIDs25227436,CIDs56946894,35.2,breast
MCF7,CIDs25227436,CIDs00123631,-5.51,breast
MCF7,CIDs00001805,CIDs00123631,-0.345,breast
MCF7,CIDs46930996,CIDs00123631,16.1,breast
MCF7,CIDs24978538,CIDs00123631,-6.12,breast
MCF7,CIDs10126189,CIDs00123631,13.0,breast
MCF7,CIDs11717001,CIDs00123631,-3.82,breast
MCF7,CIDs11656518,CIDs00123631,25.6,breast
MCF7,CIDs25194865,CIDs00123631,19.9,breast
MCF7,CIDs00002719,CIDs00123631,0.23600000000000002,breast
MCF7,CIDs00104741,CIDs00123631,15.2,breast
MCF7,CIDs00148195,CIDs00123631,18.3,breast
MCF7,CIDs00004261,CIDs00123631,2.74,breast
MCF7,CIDs00005311,CIDs00123631,9.62,breast
MCF7,CIDs11955716,CIDs00123631,10.7,breast
MCF7,CIDs11707110,CIDs00123631,24.5,breast
MCF7,CIDs16719221,CIDs00123631,23.6,breast
MCF7,CIDs17754438,CIDs00123631,30.2,breast
MCF7,CIDs11494412,CIDs00123631,19.0,breast
MCF7,CIDs11597571,CIDs00123631,22.8,breast
MCF7,CIDs00148191,CIDs00123631,8.19,breast
MCF7,CIDs06442177,CIDs00123631,12.7,breast
MCF7,CIDs45375953,CIDs00123631,0.75,breast
MCF7,CIDs11520894,CIDs00123631,5.88,breast
MCF7,CIDs16720766,CIDs00123631,15.5,breast
MCF7,CIDs11625818,CIDs00123631,24.3,breast
MCF7,CIDs17755052,CIDs00123631,-27.7,breast
MCF7,CIDs25033539,CIDs00123631,25.4,breast
MCF7,CIDs49867926,CIDs00123631,-2.48,breast
MCF7,CIDs00176166,CIDs00123631,21.2,breast
MCF7,CIDs00093860,CIDs00123631,-0.33899999999999997,breast
MCF7,CIDs11556711,CIDs00123631,0.11900000000000001,breast
MCF7,CIDs11167602,CIDs00123631,22.6,breast
MCF7,CIDs24856436,CIDs00123631,8.8,breast
MCF7,CIDs49867930,CIDs00123631,-6.98,breast
MCF7,CIDs25227436,CIDs11375205,-5.33,breast
MCF7,CIDs24964624,CIDs11375205,67.2,breast
MCF7,CIDs00148177,CIDs11375205,155.0,breast
MCF7,CIDs00001805,CIDs11375205,7.85,breast
MCF7,CIDs24978538,CIDs11375205,23.4,breast
MCF7,CIDs10126189,CIDs11375205,4.49,breast
MCF7,CIDs11717001,CIDs11375205,9.55,breast
MCF7,CIDs11656518,CIDs11375205,-4.06,breast
MCF7,CIDs25194865,CIDs11375205,29.3,breast
MCF7,CIDs00002719,CIDs11375205,-1.53,breast
MCF7,CIDs00104741,CIDs11375205,36.0,breast
MCF7,CIDs00148195,CIDs11375205,15.3,breast
MCF7,CIDs00004261,CIDs11375205,49.4,breast
MCF7,CIDs00005311,CIDs11375205,52.0,breast
MCF7,CIDs11955716,CIDs11375205,15.4,breast
MCF7,CIDs11707110,CIDs11375205,12.5,breast
MCF7,CIDs16719221,CIDs11375205,21.0,breast
MCF7,CIDs17754438,CIDs11375205,-3.78,breast
MCF7,CIDs11494412,CIDs11375205,29.8,breast
MCF7,CIDs11597571,CIDs11375205,19.4,breast
MCF7,CIDs25262792,CIDs11375205,8.46,breast
MCF7,CIDs00148191,CIDs11375205,29.9,breast
MCF7,CIDs06442177,CIDs11375205,11.1,breast
MCF7,CIDs45375953,CIDs11375205,25.5,breast
MCF7,CIDs11520894,CIDs11375205,18.1,breast
MCF7,CIDs16720766,CIDs11375205,2.87,breast
MCF7,CIDs11625818,CIDs11375205,16.3,breast
MCF7,CIDs17755052,CIDs11375205,22.9,breast
MCF7,CIDs25033539,CIDs11375205,22.6,breast
MCF7,CIDs00176166,CIDs11375205,-7.42,breast
MCF7,CIDs00093860,CIDs11375205,-1.16,breast
MCF7,CIDs11556711,CIDs11375205,-0.609,breast
MCF7,CIDs11167602,CIDs11375205,-12.8,breast
MCF7,CIDs24856436,CIDs11375205,63.5,breast
MCF7,CIDs49867930,CIDs11375205,16.4,breast
MCF7,CIDs25227436,CIDs00104741,73.5,breast
MCF7,CIDs24964624,CIDs00104741,127.0,breast
MCF7,CIDs25262792,CIDs00104741,43.7,breast
MCF7,CIDs17755052,CIDs00104741,71.1,breast
MCF7,CIDs25227436,CIDs00005376,41.9,breast
MCF7,CIDs25262792,CIDs00005376,33.0,breast
MCF7,CIDs25227436,CIDs51039095,-8.7,breast
MCF7,CIDs00148177,CIDs51039095,11.4,breast
MCF7,CIDs46244453,CIDs51039095,2.25,breast
MCF7,CIDs46930996,CIDs51039095,11.2,breast
MCF7,CIDs72793174,CIDs51039095,-0.42,breast
MCF7,CIDs10126189,CIDs51039095,2.78,breast
MCF7,CIDs11717001,CIDs51039095,0.48700000000000004,breast
MCF7,CIDs11152667,CIDs51039095,11.2,breast
MCF7,CIDs25194865,CIDs51039095,25.2,breast
MCF7,CIDs11375205,CIDs51039095,20.8,breast
MCF7,CIDs00104741,CIDs51039095,21.8,breast
MCF7,CIDs56677003,CIDs51039095,-0.6709999999999999,breast
MCF7,CIDs00148195,CIDs51039095,10.3,breast
MCF7,CIDs00004261,CIDs51039095,29.3,breast
MCF7,CIDs49800198,CIDs51039095,3.96,breast
MCF7,CIDs56953069,CIDs51039095,-6.52,breast
MCF7,CIDs16659841,CIDs51039095,11.4,breast
MCF7,CIDs11707110,CIDs51039095,8.49,breast
MCF7,CIDs16719221,CIDs51039095,23.0,breast
MCF7,CIDs11494412,CIDs51039095,11.7,breast
MCF7,CIDs11597571,CIDs51039095,30.3,breast
MCF7,CIDs25262792,CIDs51039095,14.2,breast
MCF7,CIDs00148191,CIDs51039095,11.9,breast
MCF7,CIDs06442177,CIDs51039095,10.6,breast
MCF7,CIDs45375953,CIDs51039095,5.25,breast
MCF7,CIDs11520894,CIDs51039095,7.61,breast
MCF7,CIDs16720766,CIDs51039095,5.14,breast
MCF7,CIDs23725625,CIDs51039095,-8.83,breast
MCF7,CIDs11625818,CIDs51039095,-0.568,breast
MCF7,CIDs25033539,CIDs51039095,8.5,breast
MCF7,CIDs49867926,CIDs51039095,6.03,breast
MCF7,CIDs58423153,CIDs51039095,8.45,breast
MCF7,CIDs00093860,CIDs51039095,3.22,breast
MCF7,CIDs11556711,CIDs51039095,4.37,breast
MCF7,CIDs11167602,CIDs51039095,4.47,breast
MCF7,CIDs24856436,CIDs51039095,23.0,breast
MCF7,CIDs44381568,CIDs51039095,-7.76,breast
MCF7,CIDs49867930,CIDs51039095,24.9,breast
MCF7,CIDs46244453,CIDs00003461,1.97,breast
MCF7,CIDs46836568,CIDs49800198,0.935,breast
MCF7,CIDs00148177,CIDs16659841,-41.9,breast
MCF7,CIDs00001805,CIDs16659841,13.3,breast
MCF7,CIDs46930996,CIDs16659841,13.6,breast
MCF7,CIDs24978538,CIDs16659841,10.1,breast
MCF7,CIDs10126189,CIDs16659841,8.09,breast
MCF7,CIDs11656518,CIDs16659841,11.6,breast
MCF7,CIDs25194865,CIDs16659841,-8.93,breast
MCF7,CIDs00002719,CIDs16659841,0.86,breast
MCF7,CIDs00104741,CIDs16659841,19.5,breast
MCF7,CIDs00148195,CIDs16659841,40.3,breast
MCF7,CIDs00004261,CIDs16659841,8.07,breast
MCF7,CIDs00005311,CIDs16659841,-23.3,breast
MCF7,CIDs11955716,CIDs16659841,8.91,breast
MCF7,CIDs11707110,CIDs16659841,38.8,breast
MCF7,CIDs16719221,CIDs16659841,28.0,breast
MCF7,CIDs17754438,CIDs16659841,18.4,breast
MCF7,CIDs11494412,CIDs16659841,-0.261,breast
MCF7,CIDs11597571,CIDs16659841,16.3,breast
MCF7,CIDs00148191,CIDs16659841,11.3,breast
MCF7,CIDs06442177,CIDs16659841,19.8,breast
MCF7,CIDs45375953,CIDs16659841,-3.71,breast
MCF7,CIDs11520894,CIDs16659841,17.5,breast
MCF7,CIDs16720766,CIDs16659841,9.49,breast
MCF7,CIDs11625818,CIDs16659841,10.1,breast
MCF7,CIDs25033539,CIDs16659841,27.0,breast
MCF7,CIDs49867926,CIDs16659841,14.1,breast
MCF7,CIDs11556711,CIDs16659841,-0.369,breast
MCF7,CIDs24856436,CIDs16659841,-9.64,breast
MCF7,CIDs49867930,CIDs16659841,-38.1,breast
MCF7,CIDs00148177,CIDs10127622,3.26,breast
MCF7,CIDs00001805,CIDs10127622,37.0,breast
MCF7,CIDs46930996,CIDs10127622,10.1,breast
MCF7,CIDs24978538,CIDs10127622,8.62,breast
MCF7,CIDs10126189,CIDs10127622,6.17,breast
MCF7,CIDs11717001,CIDs10127622,-1.61,breast
MCF7,CIDs11656518,CIDs10127622,21.0,breast
MCF7,CIDs25194865,CIDs10127622,11.8,breast
MCF7,CIDs00002719,CIDs10127622,-1.44,breast
MCF7,CIDs00104741,CIDs10127622,63.4,breast
MCF7,CIDs00148195,CIDs10127622,17.5,breast
MCF7,CIDs00004261,CIDs10127622,35.9,breast
MCF7,CIDs00005311,CIDs10127622,33.0,breast
MCF7,CIDs11955716,CIDs10127622,15.1,breast
MCF7,CIDs11707110,CIDs10127622,1.95,breast
MCF7,CIDs16719221,CIDs10127622,5.12,breast
MCF7,CIDs17754438,CIDs10127622,8.19,breast
MCF7,CIDs11494412,CIDs10127622,39.4,breast
MCF7,CIDs11597571,CIDs10127622,10.3,breast
MCF7,CIDs25262792,CIDs10127622,9.56,breast
MCF7,CIDs00148191,CIDs10127622,22.7,breast
MCF7,CIDs06442177,CIDs10127622,27.7,breast
MCF7,CIDs45375953,CIDs10127622,51.3,breast
MCF7,CIDs11520894,CIDs10127622,21.4,breast
MCF7,CIDs16720766,CIDs10127622,-0.0342,breast
MCF7,CIDs11625818,CIDs10127622,23.6,breast
MCF7,CIDs17755052,CIDs10127622,34.6,breast
MCF7,CIDs25033539,CIDs10127622,26.6,breast
MCF7,CIDs49867926,CIDs10127622,12.1,breast
MCF7,CIDs00176166,CIDs10127622,17.2,breast
MCF7,CIDs00093860,CIDs10127622,0.53,breast
MCF7,CIDs11556711,CIDs10127622,0.657,breast
MCF7,CIDs11167602,CIDs10127622,17.4,breast
MCF7,CIDs24856436,CIDs10127622,15.8,breast
MCF7,CIDs49867930,CIDs10127622,16.1,breast
MCF7,CIDs25262792,CIDs11707110,32.6,breast
MCF7,CIDs17755052,CIDs11707110,23.4,breast
MCF7,CIDs25227436,CIDs25262792,6.59,breast
MCF7,CIDs00148177,CIDs25262792,19.4,breast
MCF7,CIDs00001805,CIDs25262792,18.4,breast
MCF7,CIDs46930996,CIDs25262792,17.9,breast
MCF7,CIDs24978538,CIDs25262792,23.7,breast
MCF7,CIDs10126189,CIDs25262792,-0.445,breast
MCF7,CIDs25194865,CIDs25262792,-10.2,breast
MCF7,CIDs00104741,CIDs25262792,55.9,breast
MCF7,CIDs00148195,CIDs25262792,6.73,breast
MCF7,CIDs00004261,CIDs25262792,12.4,breast
MCF7,CIDs00005311,CIDs25262792,7.88,breast
MCF7,CIDs11955716,CIDs25262792,3.32,breast
MCF7,CIDs11707110,CIDs25262792,56.2,breast
MCF7,CIDs17754438,CIDs25262792,10.5,breast
MCF7,CIDs11494412,CIDs25262792,-7.8,breast
MCF7,CIDs11597571,CIDs25262792,-1.86,breast
MCF7,CIDs00148191,CIDs25262792,51.1,breast
MCF7,CIDs06442177,CIDs25262792,48.4,breast
MCF7,CIDs45375953,CIDs25262792,15.0,breast
MCF7,CIDs11625818,CIDs25262792,-4.62,breast
MCF7,CIDs17755052,CIDs25262792,19.4,breast
MCF7,CIDs25033539,CIDs25262792,8.44,breast
MCF7,CIDs49867926,CIDs25262792,7.24,breast
MCF7,CIDs00176166,CIDs25262792,-3.84,breast
MCF7,CIDs00093860,CIDs25262792,-2.99,breast
MCF7,CIDs11556711,CIDs25262792,-4.87,breast
MCF7,CIDs24856436,CIDs25262792,-17.4,breast
MCF7,CIDs25227436,CIDs06442177,46.2,breast
MCF7,CIDs24964624,CIDs23725625,11.6,breast
MCF7,CIDs00148177,CIDs23725625,-29.1,breast
MCF7,CIDs00001805,CIDs23725625,42.0,breast
MCF7,CIDs46930996,CIDs23725625,8.39,breast
MCF7,CIDs24978538,CIDs23725625,4.21,breast
MCF7,CIDs10126189,CIDs23725625,14.7,breast
MCF7,CIDs11717001,CIDs23725625,19.5,breast
MCF7,CIDs11656518,CIDs23725625,3.24,breast
MCF7,CIDs25194865,CIDs23725625,14.9,breast
MCF7,CIDs00002719,CIDs23725625,-3.9,breast
MCF7,CIDs00104741,CIDs23725625,9.36,breast
MCF7,CIDs00148195,CIDs23725625,28.1,breast
MCF7,CIDs00004261,CIDs23725625,10.4,breast
MCF7,CIDs00005311,CIDs23725625,3.73,breast
MCF7,CIDs11955716,CIDs23725625,27.8,breast
MCF7,CIDs11707110,CIDs23725625,7.47,breast
MCF7,CIDs16719221,CIDs23725625,8.47,breast
MCF7,CIDs17754438,CIDs23725625,5.04,breast
MCF7,CIDs11494412,CIDs23725625,15.8,breast
MCF7,CIDs11597571,CIDs23725625,-1.21,breast
MCF7,CIDs00148191,CIDs23725625,6.77,breast
MCF7,CIDs06442177,CIDs23725625,14.6,breast
MCF7,CIDs45375953,CIDs23725625,-5.12,breast
MCF7,CIDs11520894,CIDs23725625,7.88,breast
MCF7,CIDs16720766,CIDs23725625,19.0,breast
MCF7,CIDs11625818,CIDs23725625,9.95,breast
MCF7,CIDs25033539,CIDs23725625,10.7,breast
MCF7,CIDs49867926,CIDs23725625,-18.2,breast
MCF7,CIDs00176166,CIDs23725625,3.18,breast
MCF7,CIDs00093860,CIDs23725625,0.0097,breast
MCF7,CIDs11556711,CIDs23725625,-0.1,breast
MCF7,CIDs24856436,CIDs23725625,9.75,breast
MCF7,CIDs49867930,CIDs23725625,10.8,breast
MCF7,CIDs24964624,CIDs17755052,15.6,breast
MDAMB157,CIDs17755052,CIDs25227436,16.7,breast
MDAMB157,CIDs56649450,CIDs25227436,-5.72,breast
MDAMB157,CIDs54751698,CIDs25227436,8.05,breast
MDAMB157,CIDs16654980,CIDs25227436,-7.59,breast
MDAMB157,CIDs25227436,CIDs24964624,10.6,breast
MDAMB157,CIDs25262792,CIDs24964624,41.8,breast
MDAMB157,CIDs17755052,CIDs24964624,22.5,breast
MDAMB157,CIDs56649450,CIDs24964624,11.5,breast
MDAMB157,CIDs54751698,CIDs24964624,17.9,breast
MDAMB157,CIDs16654980,CIDs24964624,-7.47,breast
MDAMB157,CIDs25227436,CIDs67161792,0.48100000000000004,breast
MDAMB157,CIDs24964624,CIDs67161792,18.2,breast
MDAMB157,CIDs72793174,CIDs67161792,20.2,breast
MDAMB157,CIDs51039095,CIDs67161792,0.958,breast
MDAMB157,CIDs10127622,CIDs67161792,11.2,breast
MDAMB157,CIDs25262792,CIDs67161792,-3.12,breast
MDAMB157,CIDs17755052,CIDs67161792,1.5,breast
MDAMB157,CIDs54751698,CIDs67161792,0.7390000000000001,breast
MDAMB157,CIDs25227436,CIDs73294313,53.4,breast
MDAMB157,CIDs24964624,CIDs73294313,6.2,breast
MDAMB157,CIDs72793174,CIDs73294313,4.9,breast
MDAMB157,CIDs51039095,CIDs73294313,9.14,breast
MDAMB157,CIDs25262792,CIDs73294313,35.3,breast
MDAMB157,CIDs17755052,CIDs73294313,31.5,breast
MDAMB157,CIDs54751698,CIDs73294313,52.8,breast
MDAMB157,CIDs25227436,CIDs46244453,32.2,breast
MDAMB157,CIDs24964624,CIDs46244453,34.4,breast
MDAMB157,CIDs72793174,CIDs46244453,-14.2,breast
MDAMB157,CIDs51039095,CIDs46244453,-9.06,breast
MDAMB157,CIDs10127622,CIDs46244453,15.2,breast
MDAMB157,CIDs54751698,CIDs46244453,6.54,breast
MDAMB157,CIDs25227436,CIDs49846579,-4.26,breast
MDAMB157,CIDs24964624,CIDs49846579,-8.94,breast
MDAMB157,CIDs25262792,CIDs49846579,-10.3,breast
MDAMB157,CIDs17755052,CIDs49846579,-12.6,breast
MDAMB157,CIDs24964624,CIDs72793174,17.2,breast
MDAMB157,CIDs51039095,CIDs72793174,24.0,breast
MDAMB157,CIDs10127622,CIDs72793174,5.45,breast
MDAMB157,CIDs25262792,CIDs72793174,32.9,breast
MDAMB157,CIDs17755052,CIDs72793174,26.7,breast
MDAMB157,CIDs56649450,CIDs72793174,3.77,breast
MDAMB157,CIDs54751698,CIDs72793174,36.8,breast
MDAMB157,CIDs16654980,CIDs72793174,11.4,breast
MDAMB157,CIDs25227436,CIDs46836568,60.4,breast
MDAMB157,CIDs24964624,CIDs46836568,40.9,breast
MDAMB157,CIDs25262792,CIDs46836568,33.9,breast
MDAMB157,CIDs17755052,CIDs46836568,40.4,breast
MDAMB157,CIDs10127622,CIDs70685869,30.2,breast
MDAMB157,CIDs11707110,CIDs70685869,21.3,breast
MDAMB157,CIDs46244453,CIDs11152667,31.3,breast
MDAMB157,CIDs25227436,CIDs00002719,6.17,breast
MDAMB157,CIDs24964624,CIDs00002719,-8.99,breast
MDAMB157,CIDs25262792,CIDs00002719,20.5,breast
MDAMB157,CIDs17755052,CIDs00002719,-24.9,breast
MDAMB157,CIDs25227436,CIDs56946894,22.5,breast
MDAMB157,CIDs25262792,CIDs56946894,3.47,breast
MDAMB157,CIDs17755052,CIDs56946894,16.2,breast
MDAMB157,CIDs25227436,CIDs10163178,3.24,breast
MDAMB157,CIDs72793174,CIDs10163178,20.6,breast
MDAMB157,CIDs51039095,CIDs10163178,14.6,breast
MDAMB157,CIDs10127622,CIDs10163178,30.3,breast
MDAMB157,CIDs25262792,CIDs10163178,-5.37,breast
MDAMB157,CIDs17755052,CIDs10163178,0.445,breast
MDAMB157,CIDs54751698,CIDs10163178,18.7,breast
MDAMB157,CIDs25227436,CIDs00123631,-6.59,breast
MDAMB157,CIDs24964624,CIDs00123631,19.7,breast
MDAMB157,CIDs25262792,CIDs00123631,1.41,breast
MDAMB157,CIDs17755052,CIDs00123631,11.7,breast
MDAMB157,CIDs72793174,CIDs11375205,-8.63,breast
MDAMB157,CIDs51039095,CIDs11375205,39.7,breast
MDAMB157,CIDs10127622,CIDs11375205,31.9,breast
MDAMB157,CIDs56649450,CIDs11375205,25.2,breast
MDAMB157,CIDs54751698,CIDs11375205,13.1,breast
MDAMB157,CIDs16654980,CIDs11375205,-25.1,breast
MDAMB157,CIDs25227436,CIDs46224759,19.0,breast
MDAMB157,CIDs24964624,CIDs46224759,4.53,breast
MDAMB157,CIDs72793174,CIDs46224759,-8.63,breast
MDAMB157,CIDs51039095,CIDs46224759,1.1,breast
MDAMB157,CIDs10127622,CIDs46224759,2.43,breast
MDAMB157,CIDs25262792,CIDs46224759,-4.25,breast
MDAMB157,CIDs17755052,CIDs46224759,4.98,breast
MDAMB157,CIDs54751698,CIDs46224759,29.7,breast
MDAMB157,CIDs25227436,CIDs00104741,6.7,breast
MDAMB157,CIDs24964624,CIDs00104741,9.35,breast
MDAMB157,CIDs25262792,CIDs00104741,-5.47,breast
MDAMB157,CIDs17755052,CIDs00104741,38.2,breast
MDAMB157,CIDs25227436,CIDs00005376,-15.4,breast
MDAMB157,CIDs24964624,CIDs00005376,23.4,breast
MDAMB157,CIDs25262792,CIDs00005376,-13.3,breast
MDAMB157,CIDs17755052,CIDs00005376,-11.7,breast
MDAMB157,CIDs25227436,CIDs74767926,4.66,breast
MDAMB157,CIDs24964624,CIDs74767926,-3.52,breast
MDAMB157,CIDs72793174,CIDs74767926,28.6,breast
MDAMB157,CIDs10127622,CIDs74767926,7.28,breast
MDAMB157,CIDs25262792,CIDs74767926,-0.213,breast
MDAMB157,CIDs17755052,CIDs74767926,3.87,breast
MDAMB157,CIDs54751698,CIDs74767926,5.12,breast
MDAMB157,CIDs25227436,CIDs51039095,13.3,breast
MDAMB157,CIDs25262792,CIDs51039095,39.7,breast
MDAMB157,CIDs17755052,CIDs51039095,49.5,breast
MDAMB157,CIDs56649450,CIDs51039095,12.9,breast
MDAMB157,CIDs46244453,CIDs00003461,31.1,breast
MDAMB157,CIDs25227436,CIDs49800198,2.15,breast
MDAMB157,CIDs46836568,CIDs49800198,49.4,breast
MDAMB157,CIDs49846579,CIDs49800198,20.2,breast
